"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"10/4/2016","1475539200","25719466740","13.32"
"10/5/2016","1475625600","25204877308","13.09"
"10/6/2016","1475712000","23383154022","12.87"
"10/7/2016","1475798400","23148248452","12.68"
"10/8/2016","1475884800","23382156317","12.24"
"10/9/2016","1475971200","24293403159","12.06"
"10/10/2016","1476057600","23808820587","11.74"
"10/11/2016","1476144000","24289033632","11.75"
"10/12/2016","1476230400","26037096488","11.77"
"10/13/2016","1476316800","74508549155","12.02"
"10/14/2016","1476403200","47491822159","11.90"
"10/15/2016","1476489600","67021626922","11.96"
"10/16/2016","1476576000","64860315135","11.93"
"10/17/2016","1476662400","62917625993","11.98"
"10/18/2016","1476748800","56109104953","12.50"
"10/19/2016","1476835200","26727015004","11.98"
"10/20/2016","1476921600","28388678071","12.05"
"10/21/2016","1477008000","27327186756","12.07"
"10/22/2016","1477094400","25568419660","12.06"
"10/23/2016","1477180800","27189463354","11.95"
"10/24/2016","1477267200","26738598194","11.93"
"10/25/2016","1477353600","25467763116","11.38"
"10/26/2016","1477440000","24766803093","11.50"
"10/27/2016","1477526400","25335805631","11.43"
"10/28/2016","1477612800","26393346615","11.08"
"10/29/2016","1477699200","26931401011","10.39"
"10/30/2016","1477785600","25710654068","11.22"
"10/31/2016","1477872000","24958279875","10.91"
"11/1/2016","1477958400","27306724366","10.75"
"11/2/2016","1478044800","24483859111","10.82"
"11/3/2016","1478131200","24961749448","10.86"
"11/4/2016","1478217600","23953353775","11.13"
"11/5/2016","1478304000","24196990421","11.11"
"11/6/2016","1478390400","24064007293","10.97"
"11/7/2016","1478476800","24556000429","10.90"
"11/8/2016","1478563200","24358801328","10.86"
"11/9/2016","1478649600","25674126403","10.64"
"11/10/2016","1478736000","24703835063","10.52"
"11/11/2016","1478822400","28889390493","10.29"
"11/12/2016","1478908800","25243993965","9.96"
"11/13/2016","1478995200","25168748733","10.13"
"11/14/2016","1479081600","24969184273","10.00"
"11/15/2016","1479168000","24586128040","10.22"
"11/16/2016","1479254400","24746018974","10.01"
"11/17/2016","1479340800","24334480804","9.95"
"11/18/2016","1479427200","24779293462","9.53"
"11/19/2016","1479513600","24367796634","9.70"
"11/20/2016","1479600000","24297865025","9.57"
"11/21/2016","1479686400","24827550548","9.56"
"11/22/2016","1479772800","23329377849","9.84"
"11/23/2016","1479859200","24571404785","9.78"
"11/24/2016","1479945600","27981297065","9.22"
"11/25/2016","1480032000","24440853301","9.39"
"11/26/2016","1480118400","24641800522","9.34"
"11/27/2016","1480204800","25256371561","8.91"
"11/28/2016","1480291200","25726139305","8.67"
"11/29/2016","1480377600","25163119754","8.18"
"11/30/2016","1480464000","23375317675","8.59"
"12/1/2016","1480550400","22785340768","8.44"
"12/2/2016","1480636800","23095222285","7.65"
"12/3/2016","1480723200","22832490174","7.90"
"12/4/2016","1480809600","22644586389","7.54"
"12/5/2016","1480896000","23613848731","6.69"
"12/6/2016","1480982400","23636815655","7.61"
"12/7/2016","1481068800","23374892164","8.35"
"12/8/2016","1481155200","939588332579","8.30"
"12/9/2016","1481241600","22949471336","8.52"
"12/10/2016","1481328000","22755035263","8.09"
"12/11/2016","1481414400","23102362744","8.20"
"12/12/2016","1481500800","23597952573","8.45"
"12/13/2016","1481587200","22648901910","8.40"
"12/14/2016","1481673600","22618352558","8.23"
"12/15/2016","1481760000","23094151934","7.76"
"12/16/2016","1481846400","22992393242","7.85"
"12/17/2016","1481932800","23595023607","7.66"
"12/18/2016","1482019200","23992718388","7.89"
"12/19/2016","1482105600","23123514564","7.61"
"12/20/2016","1482192000","24119840003","7.59"
"12/21/2016","1482278400","23592292635","7.87"
"12/22/2016","1482364800","20481256826","7.64"
"12/23/2016","1482451200","21893017280","7.16"
"12/24/2016","1482537600","22905581735","7.23"
"12/25/2016","1482624000","22736759512","7.19"
"12/26/2016","1482710400","22814139095","7.21"
"12/27/2016","1482796800","23152519818","7.15"
"12/28/2016","1482883200","22822250696","7.57"
"12/29/2016","1482969600","23046273651","8.21"
"12/30/2016","1483056000","22836679784","8.16"
"12/31/2016","1483142400","22450276633","8.05"
"1/1/2017","1483228800","22502464773","8.14"
"1/2/2017","1483315200","22989772352","8.34"
"1/3/2017","1483401600","23220439902","9.60"
"1/4/2017","1483488000","23038159919","10.88"
"1/5/2017","1483574400","22939235415","10.20"
"1/6/2017","1483660800","23009819425","10.07"
"1/7/2017","1483747200","22843513981","9.79"
"1/8/2017","1483833600","22998988736","10.27"
"1/9/2017","1483920000","23091635207","10.20"
"1/10/2017","1484006400","22532703925","10.55"
"1/11/2017","1484092800","22676639926","9.83"
"1/12/2017","1484179200","23040753981","9.81"
"1/13/2017","1484265600","22119879499","9.78"
